ENR_Rank_2025,ENR_Rank_2024,Firm_Name,City,State,Firm_Type,Revenue_2024_Mil,New_Contracts_Mil
1,1,QUANTA SERVICES,Houston,Texas,E/U,23672.8,34538.8
2,2,EMCOR GROUP INC.,Norwalk,Conn.,M/E,14566.1,15820.9
3,3,API GROUP,New Brighton,Minn.,F/O,7018.0,7472.0
4,4,PRIMORIS SERVICES CORP.,Dallas,Texas,U/O,6366.8,
5,6,COMFORT SYSTEMS USA INC.,Houston,Texas,M,5929.6,6766.2
6,5,BRANDSAFWAY,Atlanta,Ga.,O,4994.9,
7,10,ROSENDIN ELECTRIC,San Jose,Calif.,E,3700.0,5126.0
8,7,MYR GROUP INC.,Thornton,Colo.,E,3360.0,
9,12,PERFORMANCE CONTRACTING GROUP INC.,Lenexa,Kan.,W,3095.4,2925.4
10,11,PIKE CORP.,Charlotte,N.C.,U,2918.0,
11,13,IES HOLDINGS INC.,Sugar Land,Texas,E,2884.4,
12,9,EVERUS CONSTRUCTION GROUP,Bismarck,N.D.,E/U,2849.7,3619.4
13,18,SOUTHLAND INDUSTRIES,Garden Grove,Calif.,M,2841.4,3392.1
14,8,CENTURI HOLDINGS INC.,Phoenix,Ariz.,U,2637.2,1111.7
15,15,BAKER CONSTRUCTION ENTERPRISES INC.,Monroe,Ohio,C,2400.0,2650.0
16,25,MMR GROUP,Baton Rouge,La.,E,2331.4,1718.0
17,16,STEELFAB INC.,Charlotte,N.C.,ST,2304.8,2209.1
18,17,KELLER NORTH AMERICA,Hanover,Md.,FN,2285.8,2405.0
19,14,ARTERA SERVICES,Atlanta,Ga.,U,2254.5,1274.8
20,19,ACCO ENGINEERED SYSTEMS,Pasadena,Calif.,M,2152.1,1959.0
21,**,STERLING INFRASTRUCTURE INC.,The Woodlands,Texas,X/O,2115.8,1637.9
22,21,M.C. DEAN,Tysons,Va.,E,2026.0,
23,23,EQUANS,New York,N.Y.,M/E,1817.0,1900.0
24,**,BROCK,Houston,Texas,O,1765.0,1825.0
25,22,LITHKO CONTRACTING,West Chester,Ohio,C,1750.0,2000.0
26,24,ARCHKEY SOLUTIONS,St. Louis,Mo.,E,1700.0,2028.0
27,53,THE STATE GROUP,Franklin,Tenn.,E,1667.0,1201.3
28,26,TECTA AMERICA,Rosemont,Ill.,R,1500.0,1500.0
29,27,CENTIMARK CORP.,Canonsburg,Pa.,R,1402.5,1434.2
30,32,FAITH TECHNOLOGIES INC.,Menasha,Wis.,E,1400.0,1890.0
31,28,POWER DESIGN,Saint Petersburg,Fla.,E,1387.3,
32,41,THE E-J GROUP,Long Island City,N.Y.,E,1360.0,1358.0
33,**,LEGENCE,San Jose,Calif.,M,1300.0,1700.0
34,30,FLYNN GROUP OF COS.,Kansas City,Mo.,R,1265.1,1352.3
35,35,APOLLO SHEET METAL INC.,Kennewick,Wash.,M,1200.0,1200.0
36,34,MCKINSTRY,Seattle,Wash.,M/O,1100.0,
37,31,ASRC INDUSTRIAL,Tempe,Ariz.,P,1100.0,1333.4
38,50,MOTOR CITY ELECTRIC CO.,Detroit,Mich.,E,1093.0,665.6
39,37,CACHE VALLEY ELECTRIC CO.,Logan,Utah,E,1079.5,1140.0
40,33,LEXICON INC.,Little Rock,Ark.,ST,1007.0,906.3
41,36,HARRIS,St. Paul,Minn.,M,994.1,1581.9
42,47,ALDRIDGE ELECTRIC INC.,Libertyville,Ill.,E,957.6,1400.0
43,40,HELIX ELECTRIC,San Diego,Calif.,E,957.0,930.0
44,39,SUNTEC CONCRETE INC.,Phoenix,Ariz.,C,943.6,1001.2
45,43,THE NEWTRON GROUP,Baton Rouge,La.,E,933.0,404.0
46,45,STRUCTURAL GROUP,Columbia,Md.,C,920.0,1050.0
47,42,HUNT ELECTRIC CORP.,Bloomington,Minn.,E,900.0,1500.0
48,60,CERRIS SYSTEMS,Kansas City,Mo.,M,881.0,624.0
49,54,LARGO CONCRETE,Tustin,Calif.,C,870.5,825.0
50,38,NORTHSTAR GROUP SERVICES INC.,New York,N.Y.,D/O,848.6,677.0
51,51,BERGELECTRIC CORP.,Carlsbad,Calif.,E,824.6,
52,56,BRIGHTVIEW LANDSCAPE DEVELOPMENT INC.,Blue Bell,Pa.,O,808.8,
53,52,CECO CONSTRUCTION GROUP,Kansas City,Mo.,C/O,808.4,820.1
54,57,KEYSTONE CONCRETE,Houston,Texas,C,800.0,450.0
55,46,KENT COS.,Grand Rapids,Mich.,C,791.5,731.1
56,63,NEW RIVER ELECTRICAL CORP.,Roanoke,Va.,U,788.9,1182.2
57,48,MALCOLM DRILLING CO. INC.,San Francisco,Calif.,FN,788.5,937.0
58,55,TERRA MILLENNIUM CORP.,Salt Lake City,Utah,O,787.3,833.1
59,72,BMWC CONSTRUCTORS INC.,Indianapolis,Ind.,M,767.5,
60,93,GAYLOR ELECTRIC,Indianapolis,Ind.,E,750.8,1005.0
61,66,MILLER ELECTRIC CO.,Jacksonville,Fla.,E,748.0,1334.1
62,44,HARDER MECHANICAL,Portland,Ore.,M,744.0,747.0
63,29,SCHUFF STEEL CO. A DBM GLOBAL CO.,Phoenix,Ariz.,ST,733.6,501.7
64,64,HATZEL & BUEHLER INC.,Wilmington,Del.,E,725.4,17.5
65,85,JH KELLY LLC,Longview,Wash.,M,707.0,353.9
66,62,BARNHART CRANE,Memphis,Tenn.,O,700.6,730.0
67,68,MCKENNEY'S INC.,Atlanta,Ga.,M,684.3,694.5
68,61,HELM GROUP,Freeport,Ill.,M,683.0,825.5
69,59,CLEAN EARTH,King of Prussia,Pa.,O,670.8,670.8
70,58,CONGRUEX,Boulder,Colo.,U,668.3,
71,70,ATI RESTORATION,Anaheim,Calif.,O,648.6,510.6
72,49,TDINDUSTRIES,Dallas,Texas,M,643.5,764.6
73,76,WAYNE J. GRIFFIN ELECTRIC INC.,Holliston,Mass.,E,616.0,535.3
74,74,KEELEY CONSTRUCTION GROUP,St. Louis,Mo.,U/C,609.0,600.0
75,75,HELLAS,Cedar Park,Texas,O,606.1,666.1
76,73,PLATEAU EXCAVATION INC.,Kennesaw,Ga.,X,602.1,742.6
77,**,ENERFAB POWER & INDUSTRIAL LLC,Cincinnati,Ohio,O,597.2,233.2
78,77,J. F. AHERN CO.,Fond du Lac,Wis.,M/F,596.2,590.8
79,114,MURPHY CO.,St. Louis,Mo.,M,596.1,380.6
80,69,COOPER STEEL,Shelbyville,Tenn.,ST,593.1,711.9
81,90,TRI-CITY GROUP,Davenport,Iowa,E,571.9,239.0
82,67,YTG LLC,Philadelphia,Miss.,M/E,557.3,340.6
83,83,MACDONALD-MILLER FACILITY SOLUTIONS,SeaTac,Wash.,M,554.0,275.0
84,96,ISC CONSTRUCTORS LLC,Baton Rouge,La.,E,549.0,111.2
85,81,CONCRETE STRATEGIES,Overland,Mo.,C,543.6,
86,92,U.S. ENGINEERING HOLDINGS,Kansas City,Mo.,M,537.0,800.0
87,156,HERMANSON CO.,Kent,Wash.,M,532.9,532.9
88,89,HILL MECHANICAL CORP.,Franklin Park,Ill.,M/SH,523.4,
89,84,LIMBACH FACILITY SERVICES,Warrendale,Pa.,M,518.8,550.2
90,78,HB MECHANICAL GROUP,Camp Hill,Pa.,M,517.1,
91,88,MURRAY CO.,East Rancho Dominguez,Calif.,M,494.2,435.0
92,122,PRIME CONTROLS,Lewisville,Texas,O,493.7,610.0
93,111,ALTERMAN INC.,Live Oak,Texas,E,490.3,604.9
94,82,JOHN E. GREEN CO.,Highland Park,Mich.,M,485.0,485.0
95,80,PACIFIC STEEL GROUP,San Diego,Calif.,O,473.0,361.0
96,170,ALLISON SMITH CO.,Smyrna,Ga.,E,472.0,
97,112,INTERSTATES,Sioux Center,Iowa,E,469.9,279.2
98,87,ISEC INC.,Greenwood Village,Colo.,I,464.4,446.7
99,**,LOENBRO,Westminster,Colo.,M/E,464.0,464.0
100,107,MEI INDUSTRIAL SOLUTIONS,Coppell,Texas,O,463.9,
101,116,INGLETT & STUBBS,Mableton,Ga.,E,456.0,714.0
102,125,SARGENT ELECTRIC CO.,Pittsburgh,Pa.,E,453.1,508.2
103,115,NOX GROUP,Phoenix,Ariz.,E,445.3,
104,106,ROGERS ELECTRIC,Alpharetta,Ga.,E,445.0,520.0
105,108,SURE STEEL INC,South Weber,Utah,ST,441.2,425.4
106,137,BOND CIVIL & UTILITY CONSTRUCTION INC.,Medford,Mass.,U/X,437.2,
107,102,JMEG LLC,Farmers Branch,Texas,E,437.0,117.6
108,97,RK INDUSTRIES LLC,Denver,Colo.,M/O,435.0,
109,101,INDEPENDENCE EXCAVATING,Independence,Ohio,X/D,430.1,456.7
110,100,WESTERN PARTITIONS INC.,Wilsonville,Ore.,W,430.0,430.0
111,99,PAN-PACIFIC MECHANICAL LLC,Fountain Valley,Calif.,M,426.1,520.3
112,117,ROGERS BUILDING SOLUTIONS,Douglasville,Ga.,M,424.5,452.2
113,110,HARMON INC.,Bloomington,Minn.,G,419.9,290.9
114,119,P1 CONSTRUCTION LLC,Lenexa,Kan.,M/E,418.0,418.0
115,123,BEAVER EXCAVATING CO.,Canton,Ohio,X,413.4,403.7
116,134,MANAFORT BROTHERS INC.,Plainville,Conn.,X,412.3,355.2
117,95,DANELLA,Plymouth Meeting,Pa.,U,410.0,430.0
118,86,PRECISION WALLS INC.,Cary,N.C.,W,408.0,431.7
119,**,BZI,Cedar City,Utah,ST,403.7,490.1
120,109,GUARANTEE ELECTRICAL CO.,St. Louis,Mo.,E,402.9,
121,160,HODESS CLEANROOMS,Attleboro,Mass.,O,397.0,227.0
122,148,VALLEY ELECTRIC,Everett,Wash.,E,394.0,416.6
123,**,SUNLAND ASPHALT & CONSTRUCTION LLC,Phoenix,Ariz.,O,394.0,450.4
124,158,ENCORE ELECTRIC,Lakewood,Colo.,E,393.0,
125,131,CLEVELAND ELECTRIC CO.,Atlanta,Ga.,E,392.2,563.6
126,127,VEIT & CO. INC.,Rogers,Minn.,X,387.3,358.0
127,155,ACE ELECTRIC INC.,Valdosta,Ga.,E,385.6,263.8
128,152,PRISM ELECTRIC,Garland,Texas,E,385.5,309.2
129,145,CEC FACILITIES LLC,Irving,Texas,E,385.0,450.0
130,172,NEVELL GROUP INC.,Brea,Calif.,W,377.2,271.5
131,79,BERKEL,Bonner Springs,Kan.,FN,370.6,
132,204,CUMMINGS ELECTRICAL,Fort Worth,Texas,E,364.2,420.0
133,141,EGAN CO.,Champlin,Minn.,E,361.0,324.1
134,151,LAKE ERIE ELECTRIC COS.,Westlake,Ohio,E,358.9,358.9
135,104,BAKER ELECTRIC & RENEWABLES,Escondido,Calif.,E,358.1,435.7
136,126,COMMONWEALTH HOLDINGS INC.,Lincoln,Neb.,E,357.5,322.2
