,,,,,,,,$0,$0,$0,$0,$0,$0,$0,$0,"$407,004,817",,,,,,,,,
,,,,,,,,"$348,590,267","$294,478,423","$360,731,057","$357,737,293","$335,696,280","$282,077,649","$351,013,401","$439,721,339",,,,,,,,,,
,,,,,,,,"$348,590,267","$294,478,423","$360,731,057","$357,737,293","$335,696,280","$282,077,649","$351,013,401","$439,721,339","$407,004,817","$458,434,058","$401,618,732","$446,150,589","$470,666,024","$395,656,651","$420,984,134",,,
Customer,Salesforce ID,Simplified SF ID,Trade Check,Trade,Simple Trade,Revenue,Rev Range,1/31/2025,2/28/2025,3/31/2025,4/30/2025,5/31/2025,6/30/2025,7/31/2025,8/31/2025,9/30/2025,10/31/2025,11/30/2025,12/31/2025,1/31/2026,2/28/2026,3/31/2026,MOM % Change,Mom $ Change,
"W. Bradley Electric, LLC.",0014x00000BSs16AAD,0014x00000BSs16,Electrical,,Electrical,"$112,000,000 ",$100M-$500M,"$2,171,123","$979,927","$1,056,281","$1,365,079","$2,012,346","$1,380,186","$1,719,686",$0,"$1,472,877","$1,902,280","$777,694","$1,666,526","$2,607,745","$800,927","$1,920,329",140%,"$1,119,402",
RC Power Inc,0014x00000BSs62AAD,0014x00000BSs62,Electrical,Electrical,Electrical,"$6,700,000 ",Less than $25M,"$308,600","$306,554","$505,166","$199,262","$94,115","$343,082","$248,283","$623,261","$214,241","$809,427","$514,019","$532,802","$342,845","$464,100","$845,168",82%,"$381,067",
Emerald Standard,0014x00000BSuhcAAD,0014x00000BSuhc,Electrical,,Electrical,"$6,219,000 ",Less than $25M,"$50,735","$63,860","$63,321","$190,374","$208,889","$63,720","$64,751","$54,357","$174,216","$79,780","$64,301","$181,657","$887,561","$59,603","$1,095,055",1737%,"$1,035,452",
"A-1 Electric Service Co, Inc.",0014x00000BSuhdAAD,0014x00000BSuhd,Electrical,Electrical,Electrical,"$9,090,898 ",Less than $25M,$588,"$24,618","$14,385","$7,863","$13,603","$4,110","$6,688","$13,717","$30,804","$4,480","$13,325","$2,042",$30,"$8,225","$138,452",1583%,"$130,227",
OWL Services USA,0014x00000BSuheAAD,0014x00000BSuhe,Electrical,Electrical,Electrical,"$90,000,000 ",$25M-$100M,"$5,341,344","$3,255,931","$1,923,469","$2,405,043","$1,263,035","$922,597","$1,141,717","$2,807,706","$1,163,778","$2,565,424","$2,679,770","$1,463,032","$1,063,508","$1,646,096","$2,396,188",46%,"$750,092",
"T&T Electrical Contractors, Inc.",0014x00000BSuhfAAD,0014x00000BSuhf,Electrical,Electrical,Electrical,"$8,000,000 ",Less than $25M,"$113,823","$95,165","$106,927","$82,783","$103,020","$60,016","$19,895","$59,218","$64,460","$23,377","$15,713","$20,392","$33,462","$23,331","$24,558",5%,"$1,227",
Carol Electric,0014x00000BSuhgAAD,0014x00000BSuhg,Electrical,Electrical,Electrical,"$22,000,000 ",Less than $25M,"$626,573","$166,236","$184,091","$269,799","$120,842","$1,032,904","$668,785","$331,678","$409,199","$386,717","$137,978","$749,454","$516,277","$779,065","$416,427",-47%,"-$362,639",
Edge Electric,0014x00000BSuhlAAD,0014x00000BSuhl,Electrical,Electrical,Electrical,"$10,207,000 ",Less than $25M,"$864,433","$369,803","$518,458","$954,302","$301,387","$308,821","$405,628","$589,482","$3,878,662","$171,279","$289,830","$846,464","$638,781","$606,277","$343,896",-43%,"-$262,381",
K2 Electric LLC,0014x00000BSuhmAAD,0014x00000BSuhm,Electrical,Electrical,Electrical,"$56,000,000 ",$25M-$100M,"$604,301","$550,442","$872,287","$2,231,914","$3,211,334","$1,389,643","$1,044,406","$1,256,270","$759,765","$2,667,115","$1,729,879","$882,475","$671,113","$925,662","$952,080",3%,"$26,417",
National Electric Works,0014x00000BSuhVAAT,0014x00000BSuhV,Electrical,Electrical,Electrical,"$32,000,000 ",$25M-$100M,"$526,683","$380,446","$457,709","$1,277,765","$451,581","$1,466,396","$1,570,658","$359,644","$205,475","$300,224","$419,713","$646,524","$995,168","$1,401,111","$156,910",-89%,"-$1,244,200",
"IHS Electrical Services, LLC",0014x00000BSuhXAAT,0014x00000BSuhX,Electrical,Electrical,Electrical,"$1,700,000 ",Less than $25M,"$8,864","$6,868",$0,"$87,516","$6,688","$7,359","$9,590","$3,382","$3,554","$4,538","$7,100","$4,199","$3,002","$3,247","$13,838",326%,"$10,592",
"McGrath Electric, Inc.",0014x00000BSunlAAD,0014x00000BSunl,Electrical,Electrical,Electrical,"$30,000,000 ",$25M-$100M,"$221,190","$269,091","$345,510","$287,430","$332,592","$456,289","$483,967","$264,739","$642,754","$336,095","$262,097","$524,827","$444,808","$283,173","$881,765",211%,"$598,591",
Nova Power Systems,0014x00000BSunmAAD,0014x00000BSunm,Electrical,Electrical,Electrical,"$20,000,000 ",Less than $25M,"$725,802","$279,771","$283,923","$1,102,167","$186,172","$116,907","$217,278","$367,086","$139,392","$504,379","$586,997","$1,234,220","$26,227","$117,666","$222,778",89%,"$105,111",
NSW Integrated Systems,0014x00000BSunpAAD,0014x00000BSunp,#N/A,Electrical,Electrical,"$3,612,000 ",Less than $25M,$0,"$57,146","$36,808","$169,259","$27,641","$71,925","$169,443","$187,569","$232,808","$293,312","$85,828","$553,693","$111,358","$24,789","$198,869",702%,"$174,079",
"Armour & Sons Electric, Inc.",0014x00000BSunqAAD,0014x00000BSunq,Electrical,Electrical,Electrical,"$50,000,000 ",$25M-$100M,"$26,338","$29,458","$21,464","$62,602","$43,279","$48,901","$40,688","$45,148","$119,019","$75,280","$50,678","$29,854","$29,231","$26,386","$23,073",-13%,"-$3,314",
Fox Valley Electric,0014x00000BSunrAAD,0014x00000BSunr,Electrical,Electrical,Electrical,"$5,300,075 ",Less than $25M,"$81,508","$76,181","$100,720","$122,970","$92,665","$134,946","$122,141","$62,757","$5,118","$2,988","$6,367","$3,547",$726,"$2,270","$7,740",241%,"$5,471",
Owen Electric,0014x00000BSuntAAD,0014x00000BSunt,Electrical,Electrical,Electrical,"$48,952,330 ",$25M-$100M,"$2,550,735","$2,054,292","$1,489,261","$1,240,792","$2,838,711","$1,192,764","$2,274,870","$3,508,731","$1,259,032","$2,404,524","$2,011,670","$2,178,748","$1,997,018","$1,143,263","$3,114,597",172%,"$1,971,334",
Echo ED Corporation,0014x00000BSunvAAD,0014x00000BSunv,Electrical,Electrical,Electrical,"$20,000,000 ",Less than $25M,"$389,537","$163,880","$794,920","$397,803","$250,823","$304,900","$214,953","$527,150","$183,806","$219,341","$274,933","$286,137","$148,275","$295,667","$92,133",-69%,"-$203,533",
D&S Electrical Technologies,0014x00000BSunxAAD,0014x00000BSunx,Electrical,Electrical,Electrical,"$13,275,000 ",Less than $25M,"$57,136","$31,620","$20,735","$6,246","$41,938","$76,866","$37,559","$103,705","$24,724","$8,007","$295,259","$18,782","$8,959","$17,943","$10,809",-40%,"-$7,134",
"Land Mark Electric, Inc.",0014x00000BSvRuAAL,0014x00000BSvRu,Electrical,Electrical,Electrical,"$73,507,000 ",$25M-$100M,"$2,121,824","$4,342,061","$1,254,889","$1,422,801","$1,034,288","$767,657","$2,337,041","$1,696,120","$2,071,262","$1,311,873","$657,691","$552,370","$3,370,304","$620,478","$619,451",0%,"-$1,027",
Long Electric,0014x00000BSvRwAAL,0014x00000BSvRw,Electrical,Electrical,Electrical,"$25,000,000 ",$25M-$100M,"$103,933","$97,980","$83,764","$143,035","$112,912","$125,208","$109,879","$60,290","$89,252","$119,064","$230,851","$270,167","$164,786","$129,158","$76,426",-41%,"-$52,732",
James Babcock Inc.,0014x00000BVOH8AAP,0014x00000BVOH8,Electrical,Electrical,Electrical,"$62,000,000 ",$25M-$100M,"$169,452","$279,615","$294,579","$739,957","$195,554","$223,412","$149,245","$319,300","$236,714","$310,854","$209,527","$205,850","$248,622","$209,994","$531,060",153%,"$321,066",
"Associated Mechanical Contractors, Inc.",0014x00000cvNXXAA2,0014x00000cvNXX,Mechanical,Mechanical,Mechanical,"$64,400,000 ",$25M-$100M,"$2,107,259.94","$1,845,135.19","$2,299,682.55","$1,668,728.51","$1,077,750.50","$929,346.78","$1,037,155.34","$3,093,670.95","$1,862,631.83","$2,097,682","$3,444,199","$3,114,172","$5,229,620","$3,575,325","$1,161,532",-68%,"-$2,413,792",
"Service Complete Electric, Inc.",0014x00000cvOVrAAM,0014x00000cvOVr,Electrical,Electrical,Electrical,"$35,000,000 ",$25M-$100M,"$211,258","$2,015,537","$2,349,787","$635,256","$446,292","$230,074","$384,264","$576,623","$243,344","$259,624","$163,776","$1,610,972","$244,453","$842,198","$822,428",-2%,"-$19,770",
Alessandro Electric,0014x00000cvOW3AAM,0014x00000cvOW3,Electrical,Electrical,Electrical,"$16,196,000 ",Less than $25M,"$135,343","$486,262","$1,572,179",$20,"$218,087","$47,916","$2,765","$25,519","$99,678","$1,506","$80,845","$253,424","$297,082","$248,290","$13,288",-95%,"-$235,002",
"Carey Electric, Inc.",0014x00000cvOWHAA2,0014x00000cvOWH,Electrical,Electrical,Electrical,"$6,069,000 ",Less than $25M,"$263,501","$232,233","$135,424","$194,026","$83,156","$408,799","$155,088","$957,781","$251,859","$282,121","$423,542","$266,388","$109,108","$803,882","$149,346",-81%,"-$654,537",
Specialized Electric,0014x00000cvW0PAAU,0014x00000cvW0P,Electrical,Electrical,Electrical,"$4,000,000 ",Less than $25M,"$86,466","$464,255","$50,473","$163,246","$196,403","$124,512","$91,227","$73,562","$125,248","$64,724","$75,554","$39,865","$46,235","$25,358","$76,797",203%,"$51,439",
"Allied Electric, Inc.",0014x00000cvX0sAAE,0014x00000cvX0s,Electrical,Electrical,Electrical,"$3,000,000 ",Less than $25M,"$118,801","$17,346","$48,180","$91,963","$104,493","$41,033","$22,102","$8,184","$67,319","$193,183","$49,149","$24,303","$69,598","$23,701","$22,363",-6%,"-$1,338",
Synergy Electrical,0014x00000cw0yeAAA,0014x00000cw0ye,Electrical,,Electrical,"$25,000,000 ",$25M-$100M,,,,$0,"$2,045,053","$1,418,145","$1,786,318",$0,"$38,686","$121,653","$132,010","$104,021","$179,671","$184,305",$0,-100%,"-$184,305",
"Lynn Woodward Electric, LLC",0014x00000cw2aAAAQ,0014x00000cw2aA,Electrical,Electrical,Electrical,"$15,000,000 ",Less than $25M,"$86,273","$147,899","$254,977","$134,387","$150,745","$198,389","$146,756","$122,595","$55,701","$145,173","$107,793","$88,860","$83,080","$121,769","$216,324",78%,"$94,555",
"Judge Electrical, Inc.",0014x00000cw2huAAA,0014x00000cw2hu,Electrical,Electrical,Electrical,"$12,000,000 ",Less than $25M,"$883,199","$67,291","$128,644","$145,775","$62,945","$179,340","$635,413","$295,717","$490,382","$198,936","$367,327","$408,337","$30,526","$100,161","$169,648",69%,"$69,487",
